timestamp,rank,train_loss,eval_loss,accuracy,precision,recall,f1,duration_min
2025-11-28T08:17:44.237196,4,0.2511,0.1195,0.9606,0.9649,0.9606,0.9604,37.41
2025-11-28T08:54:55.308024,16,0.3068,0.1215,0.9674,0.9688,0.9674,0.9672,36.77
2025-11-28T09:33:25.699488,32,0.4771,0.1689,0.9538,0.9560,0.9538,0.9537,38.07
